config,dataset,unit,n,ac1,p_rw,p_iaaft
C,EXAM,Midterm 2,433,0.9956237842880518,0.9006622516556292,0.7218543046357616
C,EXAM,Final,844,0.997524967559548,0.8940397350993378,0.013245033112582781
C,EXAM,Midterm 1,399,0.999804451379232,0.8145695364238411,0.7615894039735099
C,EXAM,Midterm 2,462,0.9975310819311883,0.7019867549668874,0.8410596026490066
C,EXAM,Final,860,0.9975860515099726,0.052980132450331126,0.013245033112582781
C,EXAM,Midterm 1,407,0.9997349312208819,1.0,1.0
C,EXAM,Midterm 2,341,0.9923210199141865,1.0,1.0
C,EXAM,Final,530,0.9966782456653283,0.059602649006622516,0.039735099337748346
C,EXAM,Midterm 1,389,0.9994353642408541,1.0,1.0
C,EXAM,Midterm 2,446,0.995616578564055,1.0,1.0
C,EXAM,Final,508,0.9973643542712806,0.006622516556291391,0.026490066225165563
C,EXAM,Midterm 1,400,0.9995584727669583,1.0,1.0
C,EXAM,Midterm 2,400,0.9951465649593987,0.9337748344370861,0.695364238410596
C,EXAM,Final,797,0.9970465798528102,1.0,1.0
C,EXAM,Midterm 1,371,0.9997775389306565,1.0,1.0
C,EXAM,Midterm 2,473,0.9975446010811407,1.0,1.0
C,EXAM,Final,654,0.9952886141823558,0.33774834437086093,0.006622516556291391
C,EXAM,Midterm 1,412,0.9995673128989958,1.0,1.0
C,EXAM,Midterm 2,360,0.9921459501029796,0.5364238410596026,0.1390728476821192
C,EXAM,Final,596,0.9971826075216124,0.006622516556291391,0.006622516556291391
C,EXAM,Midterm 1,359,0.9997301187648792,1.0,1.0
C,EXAM,Midterm 2,332,0.9949160200814164,0.9403973509933775,0.7615894039735099
C,EXAM,Final,473,0.9939607250680953,0.8675496688741722,0.9735099337748344
C,EXAM,Midterm 1,422,0.9996531778671076,1.0,1.0
C,EXAM,Midterm 2,414,0.9950194383329746,0.9337748344370861,0.7152317880794702
C,NURSE,15_1594140175,260,0.9884104058294697,0.8741721854304636,0.8807947019867549
C,NURSE,6B_1587569373,520,0.998540502418983,1.0,1.0
C,NURSE,7E_1603292452,552,0.9917251634436121,0.12582781456953643,0.9735099337748344
C,NURSE,83_1603929757,1212,0.9688515372456994,0.006622516556291391,0.9006622516556292
C,NURSE,CE_1586788313,545,0.9981550618333439,0.019867549668874173,0.15894039735099338
C,NURSE,DF_1594231189,374,0.9968006116090692,0.5298013245033113,0.7218543046357616
C,NURSE,E4_1587206108,518,0.9927986641150985,0.304635761589404,0.9470198675496688
C,NURSE,EG_1603463571,1160,0.9943095920309383,0.006622516556291391,0.5298013245033113
C,NURSE,F5_1594141473,481,0.997831934868457,0.6622516556291391,0.24503311258278146
C,NURSE,15_1594149654,70,0.9822014865769625,0.4105960264900662,0.2052980132450331
C,NURSE,5C_1586886712,784,0.9982100452354223,1.0,1.0
C,NURSE,6B_1587585327,526,0.999098016217645,1.0,1.0
C,NURSE,6D_1594757863,94,0.9759546510425507,0.7947019867549668,0.7218543046357616
