rep,param,true,est
15,alpha0,1.3757586650993399,1.344723447998469
15,alpha_A,0.8389077229860464,0.7860076328121245
15,lam,0.10752011883676532,0.10808229356893011
15,sigma,0.36786194882587814,0.3605270574967184
15,eps,0.0392307538168371,0.04011065922167303
16,beta0,-0.06955629836436145,-0.07011519524584227
16,beta_S,0.8598169793285622,0.9280957447826403
16,beta_T,0.4697693411308436,0.5096824970065593
16,beta_U,0.3698114608560917,0.42408064973252224
16,alpha0,0.3296373424722015,0.217402735417554
16,alpha_A,1.013307645982766,1.1101642440742376
16,lam,0.1525571141081892,0.15129539113067997
16,sigma,0.2760849370637642,0.2724140424550766
16,eps,0.07324344167841804,0.05678325673438244
17,beta0,-0.1794454066842234,-0.2123720821081229
17,beta_S,0.5358098109201961,0.5353535068777207
17,beta_T,0.29908086722896415,0.31069893334735815
17,beta_U,0.15121007081764326,0.0872246288117019
17,alpha0,1.3910357774202513,1.1893313155440062
17,alpha_A,1.1355293954844938,1.2615402108719511
17,lam,0.1136715798354236,0.1155487874864388
17,sigma,0.20664550721680885,0.2051401517988489
17,eps,0.06529845252333286,0.06962330592642295
18,beta0,-0.09405109682470769,-0.06963234292984483
18,beta_S,0.5303582550466043,0.5073379233416528
18,beta_T,0.47303184662183956,0.4166756934263555
18,beta_U,0.22339180438528405,0.21684952251612766
18,alpha0,1.1211095816755732,1.1542874469043032
18,alpha_A,0.4228265355732106,0.4131273325911831
18,lam,0.1211949681431285,0.12796414811676246
18,sigma,0.24668280214594082,0.24606244408567599
18,eps,0.010372362303035308,0.003847031911034824
19,beta0,-0.263843159505211,-0.20697857608289294
19,beta_S,0.30360798184728754,0.27836470554156884
19,beta_T,0.3881919573775107,0.3678482898520915
19,beta_U,0.17054358597303088,0.15041291889570896
19,alpha0,1.0907233309571334,1.135205786417953
19,alpha_A,0.6543146235066292,0.668023587424477
19,lam,0.183992308186671,0.1859327922998629
19,sigma,0.41224602613368866,0.40987072822822584
19,eps,0.04994654876925667,0.03801884028519863
20,beta0,-0.10297316650023108,-0.09064548299789908
20,beta_S,0.7172909696373311,0.6715068217859992
20,beta_T,0.43741465371450877,0.44725735169080494
20,beta_U,0.3018132484728342,0.3274354587720401
20,alpha0,0.9321182574715665,1.017046492502792
20,alpha_A,0.7302499080003394,0.6822214608747582
20,lam,0.17122327446408175,0.17906878536875998
20,sigma,0.20148660281444067,0.20202302829143495
20,eps,0.070329508660276,0.07042629771823662
21,beta0,-0.23734347580874965,-0.21808925126993658
21,beta_S,0.4629884514255915,0.47327166803004345
21,beta_T,0.24191505052360973,0.24931860291889782
21,beta_U,0.28496958077798046,0.26642095556694234
21,alpha0,1.6132484918638008,1.6800620149126748
21,alpha_A,1.188390171625489,1.1561821234047824
