dataset,subject,n,beta0,beta_S,beta_T,beta_U,alpha0,alpha_A,lam,sigma,eps,identified,mean_a,mean_b,pct_bistable,nll,aic,cusp_identified,lam_t,lam_p_nominal,pct_calm,pct_focused,pct_stuck,pct_overloaded,pct_recovering
NURSE,15_1596219716,60,36.2135544253434,-150.8469536620423,-147.4570938011025,-5.918016515567448,-150.95220848271126,-3577.869327642844,0.0032296400461111225,1.6274858220947026,0.001,True,-234.04590751936038,43.30451339557076,0.0,112.45252009148123,242.90504018296247,True,0.13778264503514465,0.44547217447502674,0.26666666666666666,0.26666666666666666,0.0,0.4666666666666667,0.0
NURSE,15_1596222922,178,30.62386845645799,107.87189962419038,-88.39159529443351,21.824677267818334,-34.16493013177621,-311.79220084438225,0.0025703242088221134,1.5666509567662712,0.021003847256063517,True,-245.41071846344335,42.064023592210006,0.0,330.61453443231545,679.2290688646309,True,0.17689914213732089,0.4298990957005366,0.2247191011235955,0.2303370786516854,0.0,0.5449438202247191,0.0
NURSE,15_1596547439,116,,,,,,,0.0,1.747344290406598,0.3,False,,,,227.35909631819908,472.71819263639816,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1596551659,424,-20.552782539842813,18.64186277785981,46.11872760016146,17.264275896310963,-323.825259670808,53.37041702949269,0.0030281049555190426,1.720005044247475,0.059714243232220604,True,-287.0245637086455,5.131103704915832,0.0,829.6154150958401,1677.2308301916803,True,0.3406921867360012,0.3667536535738616,0.2759433962264151,0.20047169811320756,0.0,0.5235849056603774,0.0
NURSE,15_1596564517,346,,,,,,,0.0,1.6103397761908582,0.07255079514322042,False,,,,653.9073872113308,1325.8147744226617,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1596634348,72,,,,,,,0.0,1.4681046361640053,0.19954001058325432,False,,,,128.00666246173765,274.0133249234753,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1596636683,368,,,,,,,0.0,1.7738312841529107,0.3,False,,,,731.0934729654294,1480.1869459308589,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1596648020,165,5.206299714641868,-3.770645941770806,-6.379573819604859,10.432398561577996,-72.68931551644707,21.27247086752957,0.014100705201256473,1.7864679285070317,0.13859699391308306,True,-56.04555325181013,11.073813469456327,0.0,327.8653526195888,673.7307052391776,True,1.0044927601111915,0.15834340378173584,0.28484848484848485,0.20606060606060606,0.0,0.509090909090909,0.0
NURSE,15_1596653112,216,,,,,,,0.0,1.6147283088655071,0.001,False,,,,408.09262787332295,834.1852557466459,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1586886712,784,0.29010297495066134,-4.7754224675713655,-0.3144613609071985,5.045939765715985,5.077317696884317,-29.533983303112596,0.019837739804820675,0.9763855769684043,0.10931043378882663,True,-8.056085623179952,2.835987503384766,0.20790816326530612,1092.316962835079,2202.633925670158,True,4.567049498988283,2.8755236035455337e-06,0.1568877551020408,0.1326530612244898,0.1951530612244898,0.5114795918367347,0.003826530612244898
NURSE,5C_1587297777,1072,,,,,,,0.0,1.7226081762171124,0.3,False,,,,2102.1352990535265,4222.270598107053,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1587336033,80,-16.062203131947783,-0.004575199613239192,9.807947205221213,12.850461326122511,-69.72165378190797,511.1405175300577,0.012444774602694816,1.79726548462924,0.001,True,-56.068349908251115,-13.017928272820786,0.0,158.41118455494623,334.82236910989246,True,0.611070233002042,0.27153875819644313,0.2875,0.2625,0.0,0.45,0.0
NURSE,5C_1587569014,624,1.2236648063244377,-8.418703081082953,-4.557981478551317,-0.45332228406481795,-142.78607699001253,86.56344749960631,0.007988448350217002,1.7693343394838277,0.005025651429739472,True,-99.53476965333599,-2.2509284409923485,0.0,1239.484622182637,2496.969244365274,True,1.1125230887326876,0.13317363950237168,0.2692307692307692,0.2387820512820513,0.0,0.49198717948717946,0.0
NURSE,5C_1587593875,138,,,,,,,0.0,1.6793551965719762,0.24791264722402312,False,,,,265.4167364692011,548.8334729384022,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1587661745,409,,,,,,,0.0,1.7393556700149106,0.09340061964619792,False,,,,804.7609354910198,1627.5218709820397,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1587674047,387,,,,,,,0.0,1.7132379705201266,0.3,False,,,,755.526934004891,1529.053868009782,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1588974475,319,2.0119960072963843,-50.71800071879528,-3.7483175025878124,17.628777203398354,-107.63043905070676,25.073189147335764,0.006017947278751964,1.4513022065751007,0.09032374797742633,True,-89.07141696506457,5.418871079282615,0.0,569.665123715139,1157.330247430278,True,0.48705332896555775,0.3132818183081445,0.27899686520376177,0.18808777429467086,0.0,0.5329153605015674,0.0
NURSE,5C_1589028738,734,,,,,,,0.0,1.4305642400698428,0.3,False,,,,1302.5464778030148,2623.0929556060296,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1589199875,1111,,,,,,,0.0,1.355540781388923,0.01799948806167835,False,,,,1912.6842995159027,3843.3685990318054,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,5C_1589286789,387,15.867766240736422,0.1073277643645552,-9.458822477855275,-0.037568958551417585,-137.86264943384174,22.43697016472996,0.004978903912696863,1.6632861466155828,0.11856428375641147,True,-119.83926099756151,13.595617108182559,0.0,744.1052410599493,1506.2104821198986,True,0.5622785803194539,0.2871293141019031,0.22739018087855298,0.24031007751937986,0.0,0.5322997416020672,0.0
NURSE,5C_1589298448,1046,-13.418216751067655,4.213077321456882,0.6708118230160335,34.36460110807097,-87.69805015713727,7.7829283788947174,0.006771307090128118,1.4749119112302005,0.2833864818884392,True,-81.66563373180263,9.122995701842683,0.0,1888.8759560138044,3795.751912027609,True,1.2281191184987847,0.10984032717360999,0.26577437858508607,0.1864244741873805,0.0,0.5478011472275335,0.0
NURSE,5C_1589803857,1407,-4.271032098138597,6.822448557369447,-0.2006173521168572,0.9051452331812047,-37.4915768381734,8.426285396015361,0.01264841716955691,1.3096581609802742,0.3,True,-31.827823011645098,-3.5983259150613933,0.0,2374.318794911704,4766.637589823408,True,2.4383628049919412,0.00743884023781514,0.24449182658137883,0.24164889836531628,0.0,0.5138592750533049,0.0
NURSE,5C_1589889161,1410,-15.561962047546425,-4.911977954102317,-0.7964236284251347,11.79282633051767,-62.49861234385764,18.688063758363565,0.010195204991964833,1.4454765551825512,0.3,True,-48.69865088845519,-8.251629904474775,0.0,2518.4150332887307,5054.830066577461,True,2.1289441380246705,0.016716384683973847,0.2851063829787234,0.19432624113475178,0.0,0.5205673758865248,0.0
NURSE,5C_1592926305,668,-0.1523301205957456,-3.683842717120722,2.1255554717541894,-0.486319694333176,-38.03729256769939,6.8132258798662555,0.020880154325682212,1.6617896408851878,0.011179126499927677,True,-33.95710085778469,-0.6648022271796314,0.0,1285.1980457257744,2588.3960914515487,True,2.7955006054844747,0.002666303858625702,0.27245508982035926,0.22005988023952097,0.0,0.5074850299401198,0.0
NURSE,5C_1593006542,387,4.157050879594912,-33.9444073348765,19.87094019756396,-4.363629708864528,-80.13590467404391,16.370030712095375,0.009998713167913955,1.7895459533432778,0.3,True,-66.67206797956145,-1.396543887491498,0.0,772.3475789228676,1562.6951578457351,True,1.1084372881552733,0.13418795389713242,0.27648578811369506,0.21963824289405684,0.0,0.5038759689922481,0.0
NURSE,5C_1593018622,410,-8.425986642192928,13.378616754247053,5.406122570895416,6.7217752811526905,-101.98145580212564,33.28574097306703,0.008866967123836497,1.4252746335801867,0.3,True,-78.91132779639314,0.7304446523652067,0.0,725.280948953311,1468.561897906622,True,0.913757440813065,0.18069601093675486,0.20243902439024392,0.24634146341463414,0.0,0.551219512195122,0.0
NURSE,5C_1593094946,460,-48.409072890633446,72.82900217331517,21.16253838407282,-110.41299252426059,-659.1813640328106,92.9273625870921,0.00154757926613738,1.7418047641679548,0.18174000753867803,True,-596.9902804605055,-54.544326308794815,0.0,906.001891321045,1830.00378264209,True,0.18064989485557537,0.42836167910641,0.2717391304347826,0.2543478260869565,0.0,0.47391304347826085,0.0
NURSE,6B_1587569373,520,-35.564594614218066,-60.01398303316976,-21.83997888000436,43.87513838556467,-219.83802059056725,43.24949562112745,0.004178737163633908,1.599646065702882,0.19132500319949525,True,-190.66563521527098,-21.312586238520744,0.0,980.2461621740458,1978.4923243480916,True,0.4024985361017618,0.34374257750474446,0.29423076923076924,0.21923076923076923,0.0,0.48653846153846153,0.0
NURSE,6B_1587585327,526,,,,,,,0.0,1.6433853533486897,0.10077110444164793,False,,,,1005.7408658177504,2029.4817316355009,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,6B_1587653438,163,7.331614724066273,-101.74226109154087,-86.34457517006648,-68.92057123962326,-613.5790958880317,162.49606808638464,0.0019056688573396308,1.7828592907180512,0.03350876113758447,True,-517.7651520947875,-49.887999501327535,0.0,323.53942619477385,665.0788523895477,True,0.12441096272389893,0.45057554589089366,0.2883435582822086,0.2392638036809816,0.0,0.4723926380368098,0.0
NURSE,6B_1588961203,208,128.2561936232609,22.07247598211243,-132.68326372830808,-62.58261917181501,-122.0729244147455,-217.39413090528407,0.002025978617767905,1.5697381748255537,0.10904852396636869,True,-279.1841294918539,44.77685669314092,0.0,387.0584058033314,792.1168116066628,True,0.17071524248899314,0.4323101286261353,0.2548076923076923,0.2403846153846154,0.0,0.5048076923076923,0.0
NURSE,6B_1588970444,430,,,,,,,0.0,1.7196907641056218,0.3,False,,,,841.3046153893068,1700.6092307786137,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,6B_1589052301,191,,,,,,,0.0,1.6069093465922077,0.3,False,,,,359.7177292900324,737.4354585800648,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,6B_1589901451,160,2.417366518185826,-67.2096440986523,4.401897587603462,-2.636480047307767,-137.69899172459637,25.52023707562544,0.005441890692128635,1.7229846755110485,0.3,True,-117.09011912542549,-4.367102657314035,0.0,312.11645886531994,642.2329177306399,True,0.37976770121244363,0.3523239712267787,0.26875,0.23125,0.0,0.5,0.0
NURSE,6B_1590172247,510,,,,,,,0.0,1.7633812214174622,0.008274226776665191,False,,,,1010.961368700511,2039.922737401022,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,6B_1592925729,194,3.8371580993858645,3.4280365135227333,8.264288205353328,2.7020116215614016,-54.00264418123074,-142.0239915647719,0.006796820174464202,1.6186737068831745,0.011096042205929408,True,-110.50330631331369,7.157831765831471,0.0,366.80531000160454,751.6106200032091,True,0.44972382957500434,0.3267166191644869,0.27319587628865977,0.25257731958762886,0.0,0.4742268041237113,0.0
NURSE,6B_1592996203,742,,,,,,,0.0,1.703656577780775,0.001,False,,,,1446.2211132073464,2910.442226414693,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,6B_1593024104,217,-9.63566724323677,-13.185167972655513,4.298153710260372,33.10219406376356,-154.12385286469552,257.9672842695242,0.005598972863874045,1.7564078327533763,0.001,True,-136.86543683750267,7.587807555764012,0.0,428.15719852920336,874.3143970584067,True,0.4440943366110368,0.3287169213581097,0.2672811059907834,0.2350230414746544,0.0,0.4976958525345622,0.0
NURSE,6B_1593083317,95,32.29747344944469,-35.02526218847218,-28.568451878712793,-21.820310007894406,-96.87978008903525,17.2283758310509,0.010008181176104464,1.6203943520146353,0.3,True,-83.85479717659003,7.9672963489095645,0.0,178.75115951952128,375.50231903904256,True,0.5367035547937667,0.2964211232906311,0.29473684210526313,0.23157894736842105,0.0,0.47368421052631576,0.0
NURSE,6B_1593091155,325,,,,,,,0.0,1.8636071817696538,0.001,False,,,,661.4306060684036,1340.8612121368071,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,6B_1593101741,181,3.719668035604771,18.07444715052741,3.3753678849003763,5.912500481365157,-45.13921150994144,10.433226099939635,0.016968007014246295,1.6932186858714056,0.3,True,-37.077693637006846,4.012867619692208,0.0,350.2025637553443,718.4051275106885,True,1.1962746887360387,0.11661316177817105,0.20994475138121546,0.27071823204419887,0.0,0.5193370165745856,0.0
