dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
NURSE,6B_1593176942,overloaded,39,2.4871794871794872,0.9500211161656307,0.773264601756667,0.17675651440896367,0.4020618556701031,3.322556365243106e-06
NURSE,6B_1593191957,overloaded,35,2.657142857142857,1.0372861413428083,0.7897188828807974,0.2475672584620109,0.3763440860215054,5.815382372665819e-05
NURSE,6B_1593427701,overloaded,68,2.3970588235294117,0.8003490149138246,0.7634278524455147,0.0369211624683099,0.4171779141104295,3.1049615581079326e-11
NURSE,6B_1593437366,overloaded,27,2.2962962962962963,0.7572061028584195,0.7513428837969107,0.005863219061508773,0.435483870967742,3.564369899453521e-05
NURSE,6D_1594757863,overloaded,12,3.75,0.9245619583428765,0.8563488385776753,0.06821311976520117,0.2666666666666666,0.30396511694737494
NURSE,6D_1594831043,overloaded,51,2.7058823529411766,0.8289424332581571,0.7939992333804207,0.03494319987773642,0.3695652173913043,9.324877816091122e-07
NURSE,6D_1594910470,overloaded,145,2.3793103448275863,0.710292797382194,0.7613869876268811,-0.05109419024468709,0.42028985507246375,9.900752506643095e-24
NURSE,7A_1587228286,overloaded,123,2.5040650406504064,0.9128978730199478,0.7750157099371281,0.13788216308281975,0.39935064935064934,3.2613302706178886e-18
NURSE,7A_1587298286,overloaded,86,2.7674418604651163,1.1554545454292913,0.7991592220483187,0.3562953233809726,0.3613445378151261,1.4499722467155683e-10
NURSE,7A_1587583295,overloaded,122,2.959016393442623,0.8180191887855404,0.8136644649337004,0.004354723851839992,0.3379501385041551,6.211494609703271e-13
NURSE,7A_1587643240,overloaded,316,2.699367088607595,1.0516257778936189,0.7934373259132717,0.25818845198034723,0.37045720984759667,2.0301055320674253e-39
NURSE,7A_1588977047,overloaded,55,2.1636363636363636,0.6698485843152818,0.7333587976225691,-0.06351021330728723,0.46218487394957986,2.8241932045485358e-11
NURSE,7A_1589055551,overloaded,11,3.6363636363636362,0.7254309064273454,0.85146931829632,-0.12603841186897458,0.29255681818181817,0.24994746955692204
NURSE,7A_1592941276,overloaded,34,2.6176470588235294,1.1938169200218636,0.7861154674027777,0.40770145261908586,0.3820224719101124,5.6826008973889084e-05
NURSE,7A_1593091052,overloaded,35,2.942857142857143,0.8120591715078245,0.8125233379769972,-0.0004641664691726888,0.3398058252427184,0.00041382179369592445
NURSE,7A_1593115159,overloaded,28,2.892857142857143,0.9114924425324555,0.8089010988089465,0.10259134372350909,0.345679012345679,0.0017124127368746134
NURSE,7A_1593177044,overloaded,106,2.6132075471698113,1.3682500975022298,0.785702564496003,0.5825475330062269,0.38267148014440433,1.805201831497824e-14
NURSE,7A_1593436174,overloaded,32,2.125,0.48149133952190887,0.7276068751089989,-0.24611553558709004,0.47058823529411764,5.057002176976324e-07
